Id,Class
54082,OPUS-MT
54083,Human
54085,Human
54091,ruGPT3-Small
54092,M-BART50
54096,mT5-Small
54102,M2M-100
54105,Human
54106,mT5-Large
54107,Human
54108,ruGPT3-Large
54109,Human
54112,ruGPT3-Large
54115,Human
54116,Human
54119,M-BART50
54120,mT5-Large
54127,ruGPT3-Small
54129,ruT5-Base
54134,Human
54139,Human
54145,Human
54148,M2M-100
54152,Human
54154,M2M-100
54155,Human
54157,ruGPT3-Large
54159,ruGPT3-Small
54161,M2M-100
54168,M-BART50
54171,Human
54176,Human
54177,ruGPT3-Medium
54178,OPUS-MT
54179,Human
54187,ruGPT3-Large
54195,M2M-100
54196,Human
54206,ruGPT2-Large
54207,Human
54211,Human
54212,Human
54216,Human
54221,Human
54225,Human
54230,Human
54233,ruGPT3-Medium
54238,Human
54247,M-BART
54250,ruGPT3-Large
54253,M-BART50
54262,Human
54267,ruGPT3-Medium
54268,Human
54273,ruGPT3-Medium
54275,OPUS-MT
54277,Human
54278,M-BART50
54279,Human
54284,Human
54285,ruGPT3-Medium
54289,OPUS-MT
54290,ruGPT3-Large
54293,OPUS-MT
54297,Human
54299,M2M-100
54300,Human
54307,ruGPT3-Medium
54309,ruGPT3-Large
54312,ruGPT3-Large
54316,Human
54317,Human
54318,M-BART50
54323,ruGPT3-Large
54327,mT5-Large
54328,ruGPT3-Medium
54337,M-BART
54338,Human
54339,Human
54354,M-BART50
54357,M-BART50
54358,Human
54361,M-BART50
54364,Human
54366,Human
54367,Human
54371,Human
54372,Human
54380,M-BART50
54381,M2M-100
54382,Human
54390,Human
54394,Human
54395,ruGPT3-Small
54402,Human
54413,M-BART50
54418,Human
54419,Human
54420,M-BART50
54422,OPUS-MT
54424,M-BART50
54426,ruGPT3-Large
54427,M-BART50
54429,OPUS-MT
54430,Human
54435,M2M-100
54439,M-BART50
54443,Human
54444,ruT5-Large
54449,M-BART50
54453,ruGPT3-Medium
54458,M2M-100
54462,Human
54470,Human
54479,ruGPT3-Small
54481,OPUS-MT
54483,Human
54485,ruGPT3-Large
54486,M-BART50
54489,M-BART50
54491,Human
54494,M-BART50
54496,M2M-100
54499,Human
54505,Human
54507,ruGPT2-Large
54512,Human
54513,Human
54520,Human
54522,ruGPT3-Medium
54530,ruGPT3-Large
54531,Human
54532,OPUS-MT
54535,ruGPT3-Large
54537,M2M-100
54538,M2M-100
54541,M-BART50
54542,Human
54544,Human
54549,ruGPT3-Medium
54553,Human
54557,ruGPT3-Small
54560,mT5-Large
54561,M-BART50
54562,ruGPT3-Large
54570,Human
54575,ruGPT3-Large
54583,Human
54589,Human
54590,Human
54591,M-BART50
54593,ruGPT3-Small
54594,ruGPT2-Large
54595,mT5-Large
54596,ruGPT3-Large
54602,M-BART50
54603,OPUS-MT
54605,ruGPT3-Medium
54623,M-BART50
54624,Human
54625,M2M-100
54626,ruGPT3-Small
54629,mT5-Small
54632,Human
54636,M-BART50
54640,OPUS-MT
54645,M-BART50
54659,ruGPT3-Small
54660,M2M-100
54662,M-BART50
54666,Human
54668,Human
54669,ruGPT3-Small
54672,Human
54674,ruGPT3-Large
54676,mT5-Large
54681,Human
54688,M2M-100
54694,ruGPT3-Small
54696,ruT5-Large
54697,ruGPT3-Large
54699,M2M-100
54700,Human
54702,mT5-Small
54703,Human
54708,M2M-100
54710,ruGPT3-Small
54711,M-BART50
54716,ruGPT3-Large
54728,ruGPT3-Large
54731,OPUS-MT
54734,Human
54735,M2M-100
54737,M2M-100
54739,ruGPT3-Large
54750,ruGPT3-Medium
54754,ruGPT3-Medium
54756,Human
54758,Human
54759,ruT5-Base-Multitask
54767,ruT5-Base-Multitask
54768,M2M-100
54777,OPUS-MT
54778,ruT5-Base-Multitask
54782,Human
54790,Human
54796,ruGPT3-Small
54798,M2M-100
54800,ruGPT3-Large
54801,Human
54803,Human
54812,M-BART
54816,Human
54826,M-BART50
54827,M-BART50
54832,Human
54833,OPUS-MT
54834,M-BART50
54838,M2M-100
54840,Human
54842,ruGPT3-Large
54845,OPUS-MT
54846,ruGPT3-Large
54849,M-BART
54854,ruGPT3-Small
54860,Human
54865,ruGPT3-Large
54866,M2M-100
54867,ruT5-Large
54871,ruGPT3-Medium
54875,OPUS-MT
54876,OPUS-MT
54879,M2M-100
54880,M2M-100
54884,Human
54887,ruGPT3-Medium
54889,OPUS-MT
54898,ruGPT2-Large
54903,Human
54905,OPUS-MT
54909,Human
54920,Human
54922,ruGPT3-Small
54923,M-BART50
54927,M2M-100
54935,OPUS-MT
54942,ruGPT3-Large
54943,Human
54951,OPUS-MT
54955,M-BART50
54956,Human
54958,mT5-Small
54962,Human
54970,Human
54972,ruGPT3-Medium
54974,ruGPT3-Medium
54995,ruGPT2-Large
54997,M-BART50
55007,Human
55008,mT5-Large
55010,M2M-100
55012,ruGPT3-Medium
55014,Human
55015,Human
55018,ruGPT3-Medium
55022,Human
55030,Human
55032,M2M-100
55035,ruGPT3-Medium
55036,ruGPT3-Medium
55037,Human
55042,M-BART50
55044,ruT5-Base-Multitask
55049,ruGPT3-Medium
55057,M-BART50
55061,M-BART50
55064,M2M-100
55066,M2M-100
55069,OPUS-MT
55075,Human
55085,ruGPT2-Large
55088,Human
55091,ruT5-Base
55092,mT5-Small
55097,M-BART50
55098,mT5-Small
55104,ruGPT3-Small
55106,Human
55109,M2M-100
55110,Human
55111,ruGPT3-Small
55114,ruGPT3-Large
55116,ruGPT3-Small
55118,Human
55120,Human
55124,Human
55127,ruGPT3-Small
55128,ruGPT3-Small
55133,mT5-Small
55135,Human
55137,ruT5-Large
55139,Human
55143,Human
55144,Human
55145,OPUS-MT
55148,ruGPT3-Large
55149,mT5-Large
55155,ruGPT3-Large
55158,ruGPT3-Large
55159,ruGPT3-Large
55160,M-BART
55165,Human
55166,Human
55179,Human
55181,OPUS-MT
55182,mT5-Small
55187,Human
55197,M-BART50
55198,OPUS-MT
55200,Human
55201,Human
55202,Human
55204,Human
55206,Human
55207,ruGPT3-Medium
55208,ruGPT3-Large
55214,Human
55223,M2M-100
55226,ruGPT3-Medium
55228,Human
55229,M-BART50
55232,M-BART50
55234,Human
55237,Human
55241,Human
55242,ruT5-Base
55244,OPUS-MT
55246,Human
55253,M-BART50
55259,Human
55271,ruT5-Base-Multitask
55272,M2M-100
55273,ruGPT2-Large
55277,ruGPT2-Large
55282,Human
55286,Human
55287,ruGPT2-Large
55288,Human
55293,M-BART50
55295,M2M-100
55297,Human
55298,Human
55299,Human
55302,Human
55305,ruGPT3-Medium
55311,M2M-100
55312,Human
55316,OPUS-MT
55317,Human
55318,M-BART50
55320,OPUS-MT
55321,ruGPT3-Small
55326,Human
55332,OPUS-MT
55333,ruGPT3-Large
55334,Human
55338,M-BART50
55344,Human
55348,mT5-Small
55350,mT5-Large
55355,mT5-Small
55363,OPUS-MT
55364,ruGPT3-Small
55367,Human
55377,M2M-100
55382,ruGPT3-Medium
55396,mT5-Large
55397,M-BART
55398,Human
55406,Human
55408,OPUS-MT
55412,M-BART50
55416,ruGPT3-Medium
55419,Human
55420,Human
55422,mT5-Large
55423,ruGPT3-Small
55425,Human
55426,Human
55433,M2M-100
55435,OPUS-MT
55438,Human
55439,OPUS-MT
55450,ruGPT3-Medium
55453,M-BART
55455,ruGPT3-Large
55456,ruT5-Base
55457,Human
55461,M2M-100
55462,M2M-100
55463,Human
55464,Human
55466,Human
55467,Human
55471,Human
55472,Human
55475,Human
55476,ruGPT3-Large
55477,Human
55480,ruGPT3-Small
55481,M2M-100
55490,ruGPT3-Large
55493,ruGPT3-Small
55505,ruGPT3-Medium
55506,Human
55509,mT5-Small
55521,Human
55525,Human
55529,ruGPT3-Medium
55533,Human
55538,M2M-100
55541,mT5-Large
55542,Human
55543,M-BART50
55544,Human
55549,M-BART50
55554,mT5-Small
55556,Human
55558,M2M-100
55565,Human
55566,M2M-100
55567,mT5-Large
55568,Human
55570,ruGPT3-Large
55571,ruGPT3-Medium
55573,OPUS-MT
55587,OPUS-MT
55591,mT5-Large
55595,ruGPT2-Large
55597,Human
55600,Human
55601,M-BART
55605,Human
55617,M-BART
55621,M-BART50
55628,ruGPT3-Large
55629,ruGPT3-Large
55630,M2M-100
55631,Human
55635,OPUS-MT
55637,M2M-100
55643,mT5-Small
55644,Human
55648,Human
55649,OPUS-MT
55651,ruGPT3-Small
55654,mT5-Large
55655,Human
55657,mT5-Large
55663,Human
55665,Human
55680,Human
55686,OPUS-MT
55692,ruGPT3-Large
55694,Human
55704,Human
55708,M-BART50
55720,ruGPT3-Large
55721,ruT5-Base
55723,ruGPT3-Small
55725,Human
55726,Human
55727,ruT5-Large
55731,Human
55732,ruGPT3-Large
55739,ruGPT3-Large
55742,OPUS-MT
55748,Human
55752,Human
55754,M2M-100
55755,ruGPT3-Small
55758,ruGPT3-Small
55763,mT5-Small
55779,Human
55784,ruGPT3-Medium
55791,Human
55795,Human
55799,OPUS-MT
55800,OPUS-MT
55805,OPUS-MT
55812,ruGPT3-Small
55817,M2M-100
55822,mT5-Large
55824,mT5-Large
55826,OPUS-MT
55830,ruGPT3-Small
55832,OPUS-MT
55835,Human
55837,OPUS-MT
55840,OPUS-MT
55842,Human
55843,ruGPT3-Large
55844,mT5-Small
55850,Human
55854,ruGPT3-Large
55862,ruGPT3-Large
55876,ruGPT2-Large
55883,Human
55891,ruGPT3-Large
55893,OPUS-MT
55895,ruGPT3-Medium
55898,ruGPT3-Medium
55902,Human
55903,Human
55904,ruGPT3-Small
55913,Human
55915,ruGPT3-Small
55916,ruGPT3-Large
55918,ruGPT3-Medium
55919,OPUS-MT
55921,ruGPT3-Large
55928,M-BART
55929,M2M-100
55934,ruGPT3-Large
55942,Human
55945,Human
55953,ruGPT3-Medium
55955,OPUS-MT
55956,M-BART50
55957,ruGPT3-Large
55959,M-BART50
55960,ruGPT3-Small
55961,ruT5-Base
55963,OPUS-MT
55969,ruGPT3-Small
55973,Human
55975,Human
55977,Human
55979,Human
55980,ruGPT3-Large
55982,ruT5-Base
55994,OPUS-MT
55997,Human
55999,Human
56006,ruGPT2-Large
56008,Human
56010,ruGPT3-Small
56011,Human
56012,Human
56013,M2M-100
56017,mT5-Large
56018,ruGPT3-Small
56021,Human
56024,M-BART50
56028,Human
56030,M-BART
56032,Human
56037,Human
56040,M-BART50
56041,Human
56043,mT5-Large
56044,Human
56045,M-BART50
56046,Human
56048,OPUS-MT
56056,ruGPT3-Medium
56059,Human
56060,ruGPT2-Large
56068,M2M-100
56069,M-BART50
56072,Human
56076,Human
56077,mT5-Large
56079,M-BART50
56085,OPUS-MT
56088,Human
56093,ruGPT3-Small
56100,M2M-100
56106,M-BART
56109,Human
56112,Human
56116,M2M-100
56119,ruGPT3-Small
56122,Human
56123,ruGPT3-Large
56127,Human
56130,Human
56135,M-BART50
56138,Human
56139,OPUS-MT
56142,Human
56144,Human
56145,M-BART50
56147,Human
56149,ruGPT3-Small
56153,OPUS-MT
56156,M2M-100
56157,Human
56158,Human
56160,M2M-100
56163,ruT5-Base-Multitask
56169,ruGPT3-Small
56172,Human
56180,M-BART50
56186,M2M-100
56187,Human
56192,Human
56193,ruT5-Base
56194,ruGPT3-Medium
56205,ruGPT3-Large
56211,M2M-100
56215,Human
56218,OPUS-MT
56219,ruGPT3-Medium
56224,mT5-Large
56227,ruGPT3-Large
56228,Human
56229,M2M-100
56230,Human
56233,Human
56237,Human
56238,Human
56243,OPUS-MT
56244,M2M-100
56247,M-BART
56248,OPUS-MT
56249,ruGPT3-Medium
56250,Human
56251,OPUS-MT
56255,OPUS-MT
56263,OPUS-MT
56265,mT5-Large
56268,ruGPT3-Medium
56274,M2M-100
56277,ruGPT3-Medium
56278,Human
56285,M2M-100
56304,Human
56309,Human
56314,Human
56317,Human
56318,Human
56320,Human
56321,Human
56323,Human
56325,Human
56332,Human
56335,ruGPT3-Large
56337,ruT5-Base-Multitask
56341,mT5-Large
56346,Human
56347,Human
56349,ruGPT3-Large
56350,M-BART50
56351,Human
56352,M2M-100
56353,Human
56354,ruGPT3-Large
56356,mT5-Small
56357,Human
56358,Human
56359,Human
56363,M2M-100
56368,Human
56380,Human
56382,ruT5-Base-Multitask
56383,ruGPT2-Large
56384,Human
56385,Human
56387,M-BART50
56388,OPUS-MT
56392,Human
56393,OPUS-MT
56394,ruGPT3-Large
56397,Human
56403,Human
56404,Human
56405,Human
56408,Human
56414,ruT5-Base-Multitask
56416,ruGPT3-Small
56417,M-BART
56428,ruGPT3-Large
56429,Human
56430,OPUS-MT
56432,Human
56434,ruGPT3-Medium
56435,ruT5-Base-Multitask
56436,M2M-100
56440,ruGPT3-Small
56443,ruGPT3-Medium
56444,ruGPT2-Large
56448,OPUS-MT
56450,Human
56452,Human
56458,Human
56459,Human
56467,ruGPT2-Large
56468,M-BART50
56469,M2M-100
56475,M2M-100
56476,Human
56481,Human
56484,ruGPT3-Large
56485,Human
56487,M2M-100
56488,ruGPT3-Large
56489,ruT5-Base-Multitask
56491,ruGPT3-Large
56496,ruGPT3-Large
56498,ruGPT3-Large
56499,Human
56502,Human
56505,mT5-Large
56510,Human
56512,Human
56514,Human
56519,M2M-100
56520,M2M-100
56521,Human
56525,ruT5-Base
56532,M2M-100
56538,Human
56540,M-BART50
56541,M-BART50
56545,M-BART
56546,Human
56554,OPUS-MT
56556,M-BART50
56558,ruGPT2-Large
56560,Human
56570,ruGPT3-Medium
56572,M-BART50
56573,M-BART50
56574,ruGPT3-Medium
56576,Human
56577,ruGPT3-Small
56578,ruGPT3-Small
56582,OPUS-MT
56585,Human
56587,M-BART
56588,M2M-100
56590,OPUS-MT
56591,Human
56599,mT5-Large
56603,mT5-Large
56605,Human
56608,Human
56610,OPUS-MT
56611,ruGPT3-Small
56613,Human
56623,Human
56626,Human
56627,M-BART50
56631,Human
56635,M2M-100
56637,M2M-100
56639,M2M-100
56640,Human
56641,OPUS-MT
56649,ruGPT3-Large
56650,ruT5-Large
56653,Human
56655,OPUS-MT
56660,Human
56661,Human
56665,Human
56670,ruGPT3-Large
56672,Human
56679,ruGPT3-Small
56684,Human
56686,M-BART50
56688,ruGPT2-Large
56693,M-BART50
56696,Human
56698,ruGPT3-Medium
56699,ruT5-Base
56701,M-BART50
56702,Human
56707,mT5-Small
56709,M-BART50
56711,ruGPT3-Small
56712,M-BART50
56717,Human
56722,Human
56725,OPUS-MT
56729,Human
56730,Human
56731,Human
56732,Human
56734,M2M-100
56738,Human
56748,ruGPT3-Small
56749,M2M-100
56750,ruGPT3-Large
56752,M-BART50
56755,M-BART50
56756,Human
56757,M2M-100
56761,M2M-100
56769,Human
56770,ruGPT3-Small
56775,Human
56776,Human
56778,Human
56783,OPUS-MT
56786,Human
56789,Human
56791,mT5-Small
56794,Human
56795,Human
56802,M-BART
56811,Human
56816,mT5-Small
56823,mT5-Large
56826,ruGPT3-Large
56827,Human
56831,M2M-100
56832,Human
56836,M-BART50
56837,Human
56840,M-BART50
56841,ruT5-Base
56844,Human
56849,Human
56850,ruGPT3-Small
56856,Human
56860,ruGPT3-Small
56863,Human
56866,Human
56872,OPUS-MT
56877,M2M-100
56881,ruGPT3-Large
56883,Human
56884,ruGPT3-Medium
56885,Human
56887,M-BART50
56888,Human
56898,M-BART50
56899,Human
56901,M-BART50
56904,M-BART50
56908,M2M-100
56909,ruGPT3-Small
56910,Human
56912,Human
56913,OPUS-MT
56914,OPUS-MT
56915,ruGPT3-Small
56920,M2M-100
56926,Human
56927,mT5-Small
56941,ruGPT3-Large
56943,Human
56951,OPUS-MT
56953,M-BART50
56954,Human
56956,OPUS-MT
56958,Human
56959,mT5-Large
56974,OPUS-MT
56975,Human
56977,Human
56980,Human
56981,Human
56982,mT5-Large
56983,Human
56986,ruT5-Base
56988,Human
56990,Human
56993,Human
56994,Human
56996,Human
57001,Human
57002,Human
57003,Human
57004,ruGPT3-Large
57009,ruGPT3-Large
57012,M2M-100
57017,Human
57018,ruGPT3-Large
57020,ruGPT3-Medium
57025,Human
57032,OPUS-MT
57036,Human
57037,Human
57039,Human
57047,ruGPT3-Small
57053,ruGPT3-Small
57055,Human
57057,Human
57059,Human
57063,M-BART50
57065,M-BART50
57070,ruGPT3-Large
57077,ruGPT3-Small
57088,Human
57090,ruGPT3-Large
57094,ruGPT3-Medium
57097,ruGPT3-Small
57100,M2M-100
57103,ruGPT3-Medium
57110,OPUS-MT
57115,M-BART50
57116,Human
57117,ruGPT3-Medium
57119,ruGPT3-Medium
57121,Human
57123,Human
57127,OPUS-MT
57128,Human
57129,Human
57131,Human
57134,Human
57136,Human
57137,ruGPT3-Large
57143,Human
57145,ruGPT3-Large
57146,ruGPT3-Large
57150,mT5-Small
57157,mT5-Large
57160,ruGPT3-Large
57164,Human
57171,M-BART50
57174,OPUS-MT
57175,OPUS-MT
57179,ruGPT3-Large
57182,ruGPT3-Large
57187,Human
57191,M-BART50
57194,ruGPT2-Large
57197,ruGPT3-Large
57199,Human
57202,M-BART50
57204,ruT5-Base-Multitask
57206,ruGPT2-Large
57208,ruT5-Base-Multitask
57216,Human
57219,ruGPT3-Large
57220,M2M-100
57225,Human
57227,ruGPT2-Large
57231,M-BART50
57237,M-BART50
57247,ruGPT3-Large
57250,Human
57254,ruGPT3-Medium
57258,mT5-Large
57270,Human
57275,M-BART50
57276,ruGPT2-Large
57278,mT5-Small
57280,Human
57282,M-BART
57285,ruGPT3-Medium
57288,Human
57296,Human
57298,ruGPT3-Medium
57303,OPUS-MT
57304,OPUS-MT
57311,ruGPT3-Small
57315,Human
57318,OPUS-MT
57323,mT5-Large
57325,mT5-Large
57326,Human
57330,M-BART50
57333,OPUS-MT
57338,M-BART50
57345,Human
57347,Human
57351,ruGPT3-Small
57353,ruGPT3-Small
57355,M2M-100
57358,Human
57363,M-BART50
57367,M-BART50
57368,Human
57372,mT5-Large
57373,ruGPT3-Large
57376,M2M-100
57377,Human
57382,M-BART50
57383,ruT5-Large
57385,mT5-Large
57386,Human
57387,Human
57388,ruGPT3-Small
57389,Human
57390,Human
57391,Human
57393,Human
57395,mT5-Large
57397,Human
57399,Human
57404,mT5-Small
57407,mT5-Large
57408,ruGPT3-Medium
57418,Human
57419,Human
57420,OPUS-MT
57421,Human
57424,Human
57425,M-BART50
57426,Human
57429,Human
57430,ruGPT3-Large
57441,M2M-100
57444,Human
57447,Human
57448,M2M-100
57450,Human
57451,M-BART50
57452,Human
57455,Human
57458,mT5-Small
57459,ruGPT3-Large
57461,Human
57462,mT5-Large
57464,M-BART50
57468,Human
57470,Human
57477,OPUS-MT
57486,Human
57487,ruT5-Base
57488,Human
57489,Human
57495,OPUS-MT
57496,Human
57497,ruGPT2-Large
57502,ruT5-Base-Multitask
57503,M-BART50
57504,Human
57505,Human
57510,Human
57524,Human
57527,M-BART50
57529,Human
57534,ruGPT3-Small
57536,mT5-Large
57538,Human
57539,M-BART50
57541,ruT5-Base
57546,Human
57547,Human
57551,Human
57555,Human
57556,OPUS-MT
57557,Human
57558,ruT5-Large
57559,M-BART50
57560,OPUS-MT
57562,Human
57566,M2M-100
57569,mT5-Large
57573,ruGPT3-Small
57577,OPUS-MT
57584,Human
57586,OPUS-MT
57592,ruGPT3-Large
57595,M2M-100
57598,ruT5-Base-Multitask
57602,Human
57609,ruGPT3-Small
57624,Human
57626,M2M-100
57630,OPUS-MT
57638,M2M-100
57642,ruGPT2-Large
57646,M-BART50
57659,M2M-100
57671,OPUS-MT
57678,ruGPT3-Large
57681,Human
57682,M-BART
57683,ruGPT3-Medium
57686,Human
57691,M-BART50
57693,OPUS-MT
57698,M2M-100
57703,OPUS-MT
57704,Human
57706,ruGPT3-Small
57707,ruGPT3-Large
57708,M2M-100
57715,Human
57717,M-BART50
57721,ruGPT3-Large
57722,Human
57735,Human
57736,Human
57737,Human
57739,Human
57740,OPUS-MT
57748,M-BART50
57754,mT5-Small
57755,M2M-100
57758,Human
57760,ruT5-Base
57761,Human
57764,M-BART50
57767,Human
57768,ruT5-Base
57773,ruGPT3-Large
57779,Human
57785,Human
57787,OPUS-MT
57788,ruT5-Base
57792,Human
57794,Human
57795,ruGPT3-Small
57796,Human
57798,M-BART50
57800,OPUS-MT
57804,Human
57805,Human
57810,Human
57814,Human
57816,Human
57817,Human
57818,M2M-100
57824,Human
57825,M2M-100
57831,Human
57847,ruGPT3-Small
57848,Human
57851,ruT5-Base
57854,Human
57855,mT5-Large
57858,mT5-Small
57859,M2M-100
57863,Human
57865,M-BART50
57866,Human
57868,M-BART50
57871,ruGPT3-Medium
57873,ruGPT3-Medium
57875,Human
57876,Human
57877,Human
57879,ruT5-Base-Multitask
57880,ruGPT3-Large
57885,ruGPT3-Small
57893,Human
57895,M2M-100
57896,Human
57904,ruGPT3-Large
57909,Human
57912,mT5-Large
57914,ruT5-Base
57920,Human
57926,Human
57934,M2M-100
57939,Human
57941,Human
57942,Human
57943,M2M-100
57944,Human
57945,mT5-Small
57947,Human
57948,Human
57952,Human
57955,mT5-Small
57956,Human
57957,M2M-100
57961,ruGPT3-Large
57966,ruGPT2-Large
57970,Human
57975,Human
57977,ruGPT2-Large
57979,OPUS-MT
57980,Human
57983,Human
57985,Human
57989,Human
57991,Human
58002,ruGPT3-Large
58004,ruGPT3-Large
58006,ruGPT3-Small
58016,mT5-Large
58017,Human
58018,Human
58020,M2M-100
58026,mT5-Large
58028,ruGPT3-Large
58031,ruT5-Large
58033,Human
58034,Human
58035,OPUS-MT
58042,mT5-Small
58048,M2M-100
58049,ruGPT3-Medium
58051,Human
58055,Human
58059,M2M-100
58061,Human
58065,Human
58068,ruGPT3-Small
58070,ruT5-Base
58073,Human
58082,ruGPT2-Large
58083,ruGPT3-Small
58089,ruGPT3-Medium
58100,Human
58101,M2M-100
58109,Human
58110,ruGPT3-Medium
58111,mT5-Large
58114,M2M-100
58118,Human
58121,M-BART50
58128,M2M-100
58129,ruT5-Large
58133,OPUS-MT
58138,ruGPT3-Large
58139,M-BART50
58146,Human
58149,Human
58153,Human
58155,Human
58156,Human
58157,Human
58160,Human
58161,Human
58166,M-BART50
58168,ruGPT3-Large
58172,ruT5-Large
58175,mT5-Small
58176,Human
58177,Human
58181,M-BART50
58182,OPUS-MT
58184,ruGPT3-Small
58191,Human
58195,Human
58196,ruGPT3-Large
58199,mT5-Large
58200,Human
58207,M2M-100
58212,OPUS-MT
58218,Human
58220,M-BART50
58225,ruGPT3-Medium
58227,M-BART50
58233,Human
58235,Human
58241,ruGPT3-Small
58242,M-BART50
58246,ruGPT3-Medium
58249,ruT5-Base-Multitask
58251,ruT5-Large
58253,ruT5-Base-Multitask
58256,ruGPT3-Medium
58257,ruGPT3-Medium
58260,ruGPT3-Large
58269,Human
58272,ruGPT3-Medium
58275,ruGPT2-Large
58276,mT5-Small
58279,M2M-100
58288,ruGPT3-Small
58292,M2M-100
58293,Human
58294,ruGPT3-Medium
58299,ruGPT3-Medium
58303,ruGPT3-Small
58305,Human
58307,OPUS-MT
58308,ruGPT3-Small
58309,Human
58325,Human
58327,Human
58329,M2M-100
58330,Human
58334,ruGPT3-Small
58335,Human
58344,OPUS-MT
58345,ruT5-Base
58350,ruT5-Large
58351,Human
58352,ruGPT3-Small
58353,ruGPT3-Large
58355,mT5-Large
58360,Human
58362,mT5-Large
58365,Human
58367,Human
58370,Human
58372,M-BART50
58379,ruGPT3-Medium
58381,ruGPT3-Large
58386,Human
58389,M-BART50
58390,ruGPT3-Small
58393,ruGPT3-Large
58395,M2M-100
58398,M-BART50
58402,Human
58404,Human
58408,OPUS-MT
58411,Human
58413,mT5-Large
58415,Human
58425,Human
58426,Human
58430,M-BART50
58431,Human
58437,Human
58440,ruGPT3-Large
58442,ruT5-Base
58446,mT5-Small
58449,ruGPT3-Medium
58450,ruGPT3-Medium
58451,Human
58453,Human
58455,Human
58458,Human
58459,ruGPT3-Small
58462,ruGPT3-Small
58465,Human
58472,Human
58474,ruGPT3-Medium
58475,M-BART50
58476,Human
58482,OPUS-MT
58484,M-BART50
58501,Human
58502,Human
58512,Human
58514,Human
58520,M-BART50
58521,ruGPT3-Large
58524,ruT5-Base-Multitask
58529,ruGPT3-Small
58531,OPUS-MT
58541,M-BART50
58545,M2M-100
58550,mT5-Large
58558,M2M-100
58560,Human
58561,M-BART50
58564,M2M-100
58565,Human
58566,M-BART50
58567,Human
58568,Human
58570,Human
58573,Human
58577,Human
58579,M2M-100
58585,ruGPT3-Large
58587,M-BART50
58589,OPUS-MT
58594,M2M-100
58595,ruGPT3-Large
58597,mT5-Large
58602,OPUS-MT
58603,Human
58604,OPUS-MT
58607,Human
58608,mT5-Large
58618,ruGPT3-Small
58620,M2M-100
58622,M2M-100
58623,OPUS-MT
58628,Human
58633,Human
58638,Human
58640,Human
58642,Human
58644,Human
58651,Human
58652,Human
58653,Human
58655,Human
58663,ruGPT3-Small
58668,Human
58672,M2M-100
58679,ruGPT3-Medium
58682,Human
58684,Human
58689,ruGPT3-Large
58693,M-BART50
58694,Human
58695,M2M-100
58696,ruGPT2-Large
58698,OPUS-MT
58699,Human
58700,Human
58706,mT5-Large
58711,OPUS-MT
58716,OPUS-MT
58717,ruT5-Large
58722,ruGPT3-Medium
58730,ruGPT3-Small
58733,Human
58735,Human
58737,Human
58740,M-BART50
58741,OPUS-MT
58742,mT5-Large
58744,ruGPT3-Medium
58746,OPUS-MT
58747,OPUS-MT
58750,ruGPT3-Small
58752,mT5-Large
58754,Human
58764,Human
58766,Human
58771,ruGPT3-Small
58776,ruGPT3-Large
58780,OPUS-MT
58784,Human
58788,M2M-100
58791,ruT5-Base
58796,Human
58797,M-BART50
58810,Human
58811,Human
58812,Human
58813,Human
58822,ruGPT3-Large
58825,Human
58826,mT5-Small
58831,ruGPT3-Small
58832,Human
58836,M-BART50
58837,ruGPT3-Large
58847,Human
58856,Human
58857,mT5-Small
58859,Human
58860,ruGPT3-Small
58861,mT5-Large
58867,ruGPT3-Small
58870,M2M-100
58872,OPUS-MT
58874,mT5-Small
58879,ruT5-Base-Multitask
58882,Human
58884,ruGPT2-Large
58889,Human
58891,M-BART50
58895,mT5-Large
58898,M-BART50
58899,ruGPT2-Large
58901,M-BART
58903,OPUS-MT
58910,Human
58913,M-BART50
58914,Human
58917,OPUS-MT
58923,Human
58926,ruT5-Base-Multitask
58929,ruT5-Large
58938,Human
58939,Human
58945,ruGPT3-Medium
58955,ruGPT3-Large
58956,ruGPT3-Small
58958,mT5-Large
58965,ruGPT3-Medium
58966,mT5-Small
58969,ruGPT3-Large
58972,Human
58974,M2M-100
58977,Human
58978,OPUS-MT
58979,M-BART50
58983,Human
58986,M2M-100
58987,Human
58988,ruT5-Base-Multitask
58989,M-BART50
58991,Human
58992,ruGPT3-Small
58994,Human
58996,OPUS-MT
59001,mT5-Small
59003,OPUS-MT
59004,Human
59011,Human
59012,ruGPT3-Small
59013,ruGPT3-Small
59016,ruGPT2-Large
59020,Human
59021,ruT5-Base-Multitask
59023,Human
59025,M-BART50
59028,ruGPT3-Medium
59029,M-BART50
59030,M-BART50
59033,ruGPT3-Large
59046,Human
59049,M-BART50
59050,M-BART50
59051,ruGPT3-Medium
59055,Human
59057,mT5-Large
59059,OPUS-MT
59060,ruT5-Base-Multitask
59062,Human
59063,Human
59066,M2M-100
59076,Human
59093,Human
59094,Human
59098,ruGPT3-Medium
59100,ruT5-Base
59109,ruGPT2-Large
59113,ruT5-Base
59125,mT5-Small
59128,Human
59132,Human
59133,M2M-100
59137,mT5-Large
59142,Human
59145,Human
59147,mT5-Large
59155,Human
59156,mT5-Small
59159,Human
59172,Human
59173,Human
59174,ruGPT3-Medium
59178,OPUS-MT
59181,Human
59184,M2M-100
59189,M-BART
59190,Human
59194,OPUS-MT
59199,Human
59200,M-BART50
59206,M-BART50
59211,Human
59216,ruGPT3-Large
59221,Human
59223,OPUS-MT
