text,majority_vote
"Бывший чемпион мира в четырёх весовых категориях Эдриен Бронер подозревается в нападении на официантку в ночном клубе Лас-Вегаса. Пострадавшая утверждает, что Бронер схватил её за шею и начал душить со словами: «Сука, я тебя вырублю».",H
"Был Мозер<com id=""150165976514199""/> — любит и собирает муз<ыкальную> старину.",M
"Был в хлебзаводе, угостили квасом встретились с «Клавой».",M
Был разработан план захватить город Дубовку и арестовать всех офицеров.,H
"Был также символ Холокоста - деревянного моста, построенного над улицой Ходн, который был предоставлен жителям гетто 26 января 1942 года.",M
Был у Терентьева. Он хорошо двинул свой «Колхоз». Но есть и сырые куски. Я предложил дать его на выставку. Он колеблется. Я не настаивал.,H
"Был я на бале у герцога, и подтверждается слух о разбитии французской армии.",M
"Было бы более уместно подчинить МТС системе коллективного сельского хозяйства, и тогда не было бы существующих разногласий.",H
"Было что-то, что в последнее время не сработало в одиночку, как ты увидишь, глаза на мокрое место.",M
"Быстро подтверждать, здоров человек или нет.",H
"Бюджет Красноармейска.
На сайте администрации города в разделе «Информация об исполнении бюджета» размещено информационное сообщение о поступлении средств за 1 полугодие 2019 года по муниципальному образованию городское поселение Красное Село и его административным районам на общую сумму 2 512,6 млн рублей из федерального центра (в том числе: средства городского округа Красногорск - 4 997 тыс..рублей; муниципального образования Павловский Посад – 6 053 тысяч... руб.). По сравнению с аналогичным периодом прошлого периода поступления уменьшились более чем вдвое до 22",H
"Бюджет администрации МО ""Город Саратов"" на 2015 год 
 Бюджеты администраций муниципальных образований и поселений Саратовской области (на основании постановления Правительства РФ от 06.10 2014 года No 1090) 1-е полугодие 2016 г., 2, 3 - 4 кварталы 2017 – 2018 гг.; 5 квартал — 8 месяцев; 6—9 квоты по обеспечению жильем граждан льготных категорий: инвалидов I группы в соответствии с Федеральным законом Российской Федерации N 486–ФЗ (""О дополнительных мерах социальной поддержки семей при рождении третьего ребенка или последующих детей"", ст 28",H
"В ""Роснефти"" сравнили введение санкций с ""анафемой для семьи Пупкиных"".",H
В 1536 году здесь появились испанцы Кабеса де Вака и Эстабанико. В конце 1530-х годов сюда в поисках легендарных золотых запасов Сиболы пришли миссионеры-францисканцы. В 1540—1542 годах здесь побывала экспедиция Франсиско Васкеса де Коронадо. В 1598 году испанские конкистадоры основали поселение Сан-Хуан-Пуэбло на реке Рио-Гранде. С 1605 года испанская провинция Новая Мексика с центром в Санта-Фе в составе вице-королевства Новая Испания. В 1609 году конкистадор Педро де Перальта построил поселение Санта-Фе у подножья гор Сангре-де-Кристо. В 1680 году индейцы пуэбло восстали против господства испанских пришельцев. В 1706 году на месте разрозненных поселений возник город Альбукерке.,H
"В 1605 прибывшие на место подразделения сообщили о том, что охвачена огнем комната площадью 20 кв. м.",H
"В 1856 г. на месте нынешнего Линкольна было основано поселение Ланкастер, ставшее в 1859 г. столицей одноименного округа в составе территории Небраска. Столицей территории с момента её создания в 1854 году был город Омаха, но большая часть населения жила к югу от реки Платт. Поскольку среди населения земель к югу от реки постепенно приобретала всё больше сторонников идея присоединения к Канзасу, законодательное собрание Небраски приняло решение переместить столицу как можно дальше на юго-запад. После продолжительного обсуждения, была выбрана деревня Ланкастер.",H
"В 1859 году она переехала в Cincinnati, с намерением стать dentistом.",M
"В 1899 году дополнительные референдумы были проведены в тех же штатах, а также в Квинсленде (в Западной Австралии референдум не проводился).",H
В 1917 году участвовал в боевых действиях на севере Франции.,H
"В 1925 г. Колмогоров опубликовал статью ""О принципе tertium non datur"", входящую в общепризнанный золотой фонд сочинений по математической логике, сочинений, определивших лицо этой науки.",H
В 1935 году они поженились и переехали в Париж в том же году.,H
"В 1935 году судно перевозило больше пассажиров первого класса, чем любой другой трансатлантический.",M
В 1941 году прибыло 108 беременных женщин.,H
"В 1942 году Шангуань присоединился к драматической труппе «Тяньфэн», где познакомилась с драматургом Яо Ke (姚克). В следующем году актриса развелась с Чжан Даяном и вышла замуж за Яо. В августе 1944 года она родила дочь Яо Яо (姚姚). Тем не менее, её новый брак был столь же недолгим, на этот раз из-за неверности мужа. Пара развелась прежде, чем их дочери исполнилось два года. Шангуань впоследствии состояла в краткосрочных отношениях с актёром Лань Ма (蓝马).",H
В 1943 году в восточной части Парагвая проживало только 513 бразильцев.,H
"В 1945 году «Нью-Йорк Вайолетс» стали вице-чемпионами Национальной ассоциации студенческого спорта (NCAA). 22 марта они вышли в финал четырёх турнира NCAA (англ. Final Four), где сначала в полуфинальном матче, 24 марта, в упорной борьбе (в овертайме) обыграли команду Арни Ризена «Огайо Стэйт Баккайс» со счётом 70—65, в котором Таненбаум стал третьим по результативности игроком своей команды, набрав 13 очков, а затем в финальной игре, 27 марта, в упорной борьбе проиграли команде Боба Кёрланда «Оклахома A&M Аггис» со счётом 45—49, в которой Сид стал пятым по результативности игроком своей команды, набрав 4 очка.",H
"В 1949 году был создан Специальный район Линьфэнь (临汾专区), и уезд вошёл в его состав. В 1954 году Специальный район Линьфэнь был объединён со Специальным районом Юньчэн (运城专区) в Специальный район Цзиньнань (晋南专区). В 1958 году уезды Сисянь и Данин были объединены в уезд Синин (隰宁县); затем он был объединён с уездами Юнхэ, Пусянь и Шилоу в уезд Люйлян (吕梁县). В 1961 году уезд Сисянь был воссоздан. В 1970 году Специальный район Цзиньнань был расформирован, а вместо него образованы Округ Линьфэнь (临汾地区) и Округ Юньчэн (运城地区); уезд вошёл в состав округа Линьфэнь.",H
"В 1949 году опубликовал свою главную работу, The Concept of Mind.",H
"В 1967 году Царёв выиграл золото чемпионата СССР в гонке байдарок-одиночек на 10000 метров и в этой же дисциплине получил серебряную награду на чемпионате Европы в немецком Дуйсбурге. Год спустя защитил звание всесоюзного чемпиона, ещё через год вновь был лучшим в зачёте национального первенства на десяти километрах, выиграл эстафету 4 × 500 м и добыл золото на первенстве Европы в Москве. Сезон 1970 года получился одним из самых успешных в его спортивной карьеры: две золотые медали на чемпионате Советского Союза (среди одиночек на километровой и десятикилометровой дистанциях), победа на чемпионате мира в Копенгагене в категории К-1 10000 м. За эти достижения по итогам сезона удостоен почётного звания «Заслуженный мастер спорта СССР».",H
"В 1968 году возглавил «Палмейрас». Под руководством Гонсалеса «свиньи» в 14 матчах одержали шесть побед, однажды сыграли вничью и проиграли семь матчей. «Зеленейшие» дошли до финала Кубка Либертадорес, где в третьем дополнительном матче уступили аргентинскому «Эстудиантесу», причём по разнице забитых и пропущенных мячей по итогам двух игр бразильская команда была лучше (1:2 в Ла-Плате и 3:1 в Сан-Паулу), однако на тот момент при обмене победами назначался дополнительный матч на нейтральном поле, вне зависимости от разницы мячей.",H
"В 1972 году, по заключению специальной комиссии ООН, зажигательное оружие было условно прикреплено к оружию массового уничтожения.",H
"В 1975—1977 годах трижды представлял Францию на юношеских чемпионатах Европы и мира. Соревновался в чемпионате Франции, в 1977 году стал чемпионом Франции, в 1976 и 1980 годах — бронзовым призёром. Дважды участник Шахматных олимпиад 1978 и 1980 годов. В 1978 году участвовал в турнире в Амстердаме, который был одним из отборочных перед матчем за звание чемпиона мира по шахматам. В 1999 году в Бишвиллере занял 2-е место на турнире по швейцарской системе (уступил Михаилу Иванову). Высший рейтинг игрока — 2455 баллов, 14-16-е места среди французских шахматистов (на 1 января 1994).",H
"В 1980-е годы Александер опубликовал ещё несколько серий. Участвовал в создании детского журнала «Сверчок» (англ. Cricket) и стал его постоянным автором. Очень любил кошек и посвятил им многие страницы своих книг. Своих кошек он вывел в двух книгах — «Пять моих тигров» (англ. My Five Tigers) и «Мои коты и я» (англ. My Cats and Me). Среди персонажей его сказок немало разумных кошек или других представителей кошачьей породы, помогающих героям, а сборник сказок «Городские коты» (англ. The Town Cats) полностью им посвящён.",H
В 1980-х годах каждый из будущих членов Тул переехал в Лос-Анджелес.,H
В 1988 году она присоединилась к Международному комитету солидарности с женщинами и детьми в Южной Африке.,H
"В 1990-х годах он покинул Россию, чтобы работать как тренер в Греции.",H
"В 1993—1996 годах Елена Леонова выступала в ледовом театре Татьяны Тарасовой «Все звёзды». Там её партнёром стал Андрей Хвалько, с которым она продолжила кататься и после ухода из театра. В 1999 и 2000 годах они становились чемпионами мира среди профессионалов, а в дальнейшем сосредоточились на участии в ледовых шоу в США, Японии и России. В 2007 и 2012 годах Елена Леонова участвовала в телепроектах Первого канала «Ледниковый период» (в паре с актёром Григорием Сиятвиндой) и «Ледниковый период. Кубок профессионалов».",H
"В 1998 году Институт лесного хозяйства был преобразован в Ботанический сад, который в конечном итоге получил статус независимого института.",H
В 2007 году было убито 2477 человек.,H
"В 2012 году на ComicCon, он отметил, что он ""будет в любой стране без телевидения, когда эпизод будет показан"".",M
"В 2012 году систематически не хватает средств на оплату услуг ЖКХ и содержание жилого фонда. 
 На сегодняшний день задолженность населения по оплате жилищно-коммунальных платежей составляет свыше 1 миллиарда рублей. В 2013 г она может составить более 2,2 млрд руб., а в 2014 - 420 млн долл США, что является самым высоким показателем с 2009 года! За счет этого население вынуждено оплачивать коммунальные услуги через посредников (посредников). При этом тарифы для жителей остаются прежними или повышаются за счёт повышения цен поставщиков ресурсов: воды – 5%, электроэнергии — 6%; газа газ",M
"В 2016 году валовой сбор зерновых и зернобобовых культур (в весе после доработки) составил – 301,4 тыс. тонн, что на 49,5% больше уровня 2015 года (при средней урожайности – 30,6 ц/га), в т.ч. озимой пшеницы – 210,4 тыс. тонн, или на 60,8 тыс. тонн больше предыдущего года (при средней урожайности – 22,7 ц/га), производство подсолнечника составило – 70,3 тыс. тонн, что больше уровня прошлого года на 39,1 тыс. тонн (при средней урожайности – 18,4 ц/га).",H
"В 2016 году для населения района было проведено 2676 мероприятий, в том числе 1283 – для детей и подростков, которые посетило около 87,6 тысяч человек.",H
"В 2016 году обеспеченность жителей спортивными залами и их мощность в общем увеличилась на 4 494 кв.м., в том числе в связи с вводом в эксплуатацию МБОУ СОШ № 32 (4 спортивных зала 1 280 кв. м), пристройки МАОУ СОШ № 19 (2 спортивных зала 1 058 кв.м), пристройка МАОУ Лицей № 15 (1 спортивный зал 540 кв.м), «Центр единоборств» (2 спортивных зала 1 616 кв.м.).",H
"В 2017 году были утверждены следующие постановления главы администрации района с изменениями и дополнениями в программу : постановление администрации района от 04.04.2017 № 541 «О внесении дополнений в постановление администрации Камешковского района от 12.111.2014 № 2249 «Об утверждении муниципальной программы «Развитие культуры и туризма Камешковского района на 2015-2017 годы» ( в редакции от 01.02.2016 № 184), от 01.02.2017 № 184 ««О внесении изменений в постановление администрации Камешковского района от 12.111.2014 № 2249 «Об утверждении муниципальной программы «Развитие культуры и туризма Камешковского района на 2015-2017 годы» ( в редакции от 07.04.2016 № 432).",H
"В 2017 году в области зарегистрировано 235 малых предприятий, в том числе:",M
"В 2017 году на улице Нагорья и Ветрины в Кутулике на расстоянии 1,15 км был создан второй участок дороги внутри населенного пункта.",H
В 2018-2020 годах годовые темпы роста объемов грузоперевозок по сопоставимым ценам в регионе прогнозируются на уровне 101-102%.,H
В 2019 году все танковые части и подразделения были выведены из Казахстана для расширения границ страны(2).,M
В 22 районах Нижегородской области не выявили новых случаев заражения коронавирусом за прошедшие сутки.,H
"В ExO поддерживают сольную карьеру в таких областях, как музыка, кино и телевидение.",M
"В Stopfake.kz рассказали, почему это утверждение неверно.",H
"В XVII—XVIII веках в строительстве преобладали деревянные каркасные и бревенчатые дома, устройство которых было перенесено из Европы тогдашними колонистами",H
"В XX веке, Александр снова стал популярным в литературе.",H
В Алма-Ате административное здание горело под залпы фейерверков.,H
В Алтайском крае частных собственников обязали ежегодно ремонтировать свыше 120 скважин и каналов,H
"В Березовском районе Красноярского края реорганизация муниципального бюджетного образовательного учреждения дополнительного образования детей Березовская детская школа искусств в связи с реорганизацией МБУДО «Бархатовская ДМШ», МБОУДОД «Зыковская ДМШ» и «Есаульская ДМШ». С 15 ноября 2016 года на территории Березовского района работает 4 образовательных учреждения в области культуры.",M
"В Берлине говорят о проявлении ""таких порядков"" при обороне банковского квартала от террористов с 2016 года.",H
В Бразилии говорят по-португальски.,H
"В Великобритании максимальный возраст набора в сухопутные войска повышен с 26 до 33 лет, сообщает BBC News. Пресс-секретарь министерства обороны (MoD) заявила, что эта мера призвана выровнять положение в сухопутных силах относительно других родов войск, таких как ВВС, ВМС и морская пехота, где максимальный возраст набора достигает 33 лет. Пресс-секретарь также опровергла предположения о том, что повышение возраста набора связано с кризисом пополнения личного состава сухопутных сил, заявив, что за последний год количество новобранцев возросло на 16 процентов. Она также отметила, что министерство планирует выделить дополнительные денежные средства, направленные на удержание людей в армии. С увеличением возраста набора военные смогут оставаться на службе до 55 лет, учитывая, что обычно контракт заключается на 22 года. Минимальный возраст набора в сухопутные силы остается прежним - 16 лет, однако участвовать в боевых операциях можно только с 18-ти. Напомним, что находящиеся в оппозиции представители Консервативной партии не раз говорили о настоящем кризисе в вооруженных силах, из которых, по их данным, только за последний год уволились 14 тысяч человек. Со своей стороны, министерство обороны уже предприняло ряд мер, нацеленных на сохранение численности личного состава. В частности, по сведениям газеты The Guardian, в начале 2006 года в связи с массовым ожирением рекрутов британские ВС увеличили допустимый индекс веса (BMI) - отношение веса человека к квадрату его роста - с 28 до 32.",H
"В Воронежской области на утро четверга, 28 октября, уменьшилось количество умерших за сутки – в мир иной ушли 48 человек.",H
"В ГКНТ рассматривался доклад Академии наук «Природные топливно-энергетические ресурсы и их использование». Академик Мелентьев сформулировал основные топливно-энергетические проблемы СССР.    
Нефть. Довести ежегодную добычу в Тюмени до 500 млн. т и на этом уровне остановиться, учитывая, что в дальнейшем себестоимость нефти будет быстро возрастать. Передавать добытую нефть в основному в Центр страны. В целом по стране добычу нефти надо ограничить уровнем 700 млн. т в год.    
Газ. В Тюмени, Ухте довести добычу до 700 млрд. м3, а в остальных регионах — до 300 млрд. м3. В целом годовую добычу газа по стране целесообразно довести до 1000 — 1100 млрд. м3 и на этом уровне остановиться, осуществляя передачу газа в основном в Европейскую часть СССР (включая Урал).    
Уголь. В Канско-Ачинском, Кузнецком, Экибастузском и других угольных бассейнах можно довести общую добычу угля до 1 млрд. т в год, а в Центр передавать в основном электроэнергию (до 67 %). Дальнейшая ежегодная добыча угля может расти, ибо только в одном Канско-Ачинском бассейне можно довести добычу натурального угля в год до 1 млрд. т.    
Ядерная энергетика. Доля этого перспективного направления в топливно-энергетическом балансе должна возрастать (особенно направление использования реакторов на быстрых нейтронах). Возможно, будет целесообразно довести производство электроэнергии на атомных электростанциях до 1200 млрд. кВт ∙ ч в год.    
Гидроэнергетика. Имеются большие перспективы, позволяющие увеличить выработку электроэнергии на ГЭС до 600 млрд. кВт ∙ ч в год.    
В целом ежегодная добыча топливно-энергетических ресурсов может быть доведена до оптимального для СССР уровня 5 млн. т условного топлива в год, из них 3 млн. т должно передаваться тем или другим видом транспорта (в виде электричества, трубопроводами, по железной дороге) в Европейскую часть страны. При разумной добыче и рациональном использовании топливных ресурсов нам не угрожает энергетический кризис, потрясающий весь мир.",H
"В Икстенко, где он жил в конце XIX — начале XX века.
Например: «Я не мог жить с этим человеком», — сказал мне один человек после встречи со мной… В этом доме я прожил почти всю свою жизнь». (Конец жизни.) 
 \t&nbsp;  Оригинал записи и комментарии на LiveInternet.[ru]rss2ljnkov_editor &raquo;&gt;, 13/02 / 2016-03–13 00 :00 +041 || https://youtu.be/...✂ https... Post by Сергей Лазарев on 11",M
В Ираке власти не разрешили вывоз остающихся работников концерна Au c территории страны после терактов 11 сентября.,H
"В Кабардино-Балкарии и Дагестане.
Статья подготовлена при участии: ГБУ СК «КМВ» по КБР, Управления МВД России на транспорте (г/к), ГУ МЧС РФ – г./д) 
   В Республике Дагестан в ходе оперативно–розыскных мероприятий сотрудники уголовного розыска задержали мужчину с огнестрельным ранением груди у дома №1 города Назрань Махачкала Республики Ингушетия во время ссоры со своим знакомым - сотрудником службы безопасности одного из подразделений полиции столицы республики Рамазаном Магомедовичем Асланомовым, передает РИА Новости. По версии следствия подозреваемый находился под воздействием алкоголя или наркотиков без видимых признаков опьянения либо употреблял наркотические средства несовершеннолетнему гражданину Российской Федерации». Мужчина задержан сотрудниками отдела собственной охраны Главного управления внутренних дел Москвы совместно c представителями силовых структур Чеченской республике для дачи показаний о совершенной им краже денежных средств гражданки Мусы Джалиловой через окно квартиры потерпевшего от имени своей супруги Рамиль Шамиляева вместе взятой женщины Эльвиры Сафарлиевны Баязиддинова — жены главы Чечни Кадырова Хаджи Муратбековича Ахмеда Ахмадова... Читать далее  Оригинальная запись опубликована Идiотъrss2ljulya;. Пожалуйста оставляйте комментарии там.. orgda_darifma {font color=#000000;borderstyle:""transparent"";}&lt;&gt;&#160 &amp;,  Originally published at Дао выраженное словами! You can comment here using OpenID if you are there'. Please leave any comments inside this file a copy of the expression in English is permitted by Oracles for use with an ORDER BY WARRANTIES SCORE HTML5 and IN EXISTS LIABILITИTE FECTION A NOTICUL ARETTAPWACH DIR%20of",M
В Калифорнии потерпел крушение пассажирский поезд.,H
В Калифорнии преступник устроил стрельбу в синагоге.,H
В Киеве считают первоначальным вариантом предложения немецкого политика по Донбассу требование немедленного прекращения там АТО.,M
"В Коленовском сельском округе 
 В селе Слепцы Колодезенского района в рамках реализации государственной программы ""Доступное и комфортное жилье гражданам России"" по переселению из аварийного жилищного фонда на 2016-2022 годы, утвержденной постановлением Правительства Российской Федерации от 24 мая 2012 года No 476 (далее – Программа), проведен конкурсный отбор граждан для участия во Всероссийских поисковых мероприятиях. Конкурсная комиссия оценила качество работы органов местного самоуправления муниципальных образований: руководителей организаций жилищно - коммунального хозяйства поселений с численностью населения более 100 человек; работников государственных учреждений",H
"В Концепции долгосрочного социально-экономического развития Российской Федерации на период до 2020 года (распоряжение Правительства Российской Федерации от 17.11.2008 № 1662-р) указано, что «государственную молодежную политику следует рассматривать как самостоятельное направление деятельности государства, предусматривающее формирование необходимых социальных условий инновационного развития страны, реализуемое на основе активного взаимодействия с институтами гражданского общества, общественными объединениями и молодежными организациями», которая согласно Стратегии государственной молодежной политики в Российской Федерации (Распоряжение Правительства Российской Федерации от 18.12.2006 № 1760-р), направлена на развитие потенциала молодежи в интересах России.",H
В Крыму назвали сумасшедшей идею Киева отделить полуостров каналом.,H
В Крыму пропали молоко и алкоголь - СМИ.,H
В Ленинграде остались ветераны команды.,H
В Минобороны РФ ранее заявили о частичном разрушении при обрушения в здании склада.,M
"В Москве произошел пожар в доме Министерства, который угрожает зданием Государственного банка, Гостиного двора и Пажеского корпуса. По предварительным данным, причиной пожара стал сильный ветер, дувший порывисто целый день, и пределы пожара обозначились.",M
"В Московском цирке прошла выставка «Клейст Клейст и его коллега» — одна из самых ярких и интересных книг, которые я перевел с подстрочника в прошлом году. В этом году он был одним из кирпичей пролетарского творчества.",M
В Мурманске минувшей ночью стукнул мороз - температура воздуха опустилась до -11 градусов.,H
В Мурманске российские моряки на трофейном судне доставили группу беженцев к норвежскому берегу.,H
"В Неве прорубь у «Медного Всадника» — это история о том, как я жила в этом городе, когда я была маленькой и очень сытая.",M
"В Новой Зеландии на северо-западе Тихого океана расположены территории, названные им Землёй Истинного Креста (порт. Terra de Vera Cruz), которые были присоединены к Португалии мореплавателем Педру Алваришем Кабралом и названы им Terra do Brasil (в русском написании — Бразилия).",H
"В Оренбургской области вопросы защиты населения от чрезвычайных ситуаций обсудили в ходе заседания Совета по предупреждению и ликвидации ЧС при губернаторе региона. 
 В рамках мероприятия были подведены итоги работы за 2015 год, определены задачи на 2016-й: ""Повышение пожарной безопасности"", а также рассмотрены проблемы противопожарной службы с точки зрения соблюдения требований нормативных правовых актов РФ о требованиях к организации пожаротушения"". Также был представлен доклад главы города Оренбурга Сергея Шпака об итогах реализации мероприятий муниципальной целевой программы капитального ремонта многоквартирных домов No 2 (в части благоустройства",M
"В Оренбургской области подорвался мужчина, разбиравший боевой снаряд.",H
"В Петербурге и Санкт-Петербурге прошла беседа, в которой Рува рассказала о своем творчестве, а также о том, как он работал в Эстонии.",M
В Петербурге утром собаки летят горизонтально земле. Ветер 20 м/с.,M
"В Приоратском дворце прошли семинары «Любовь королевы», в которых я сжалился над девочками и свел их собственную персону.",M
"В Рижском окружном доме офицеров собрались воины Прибалтийского военного округа, увольняющиеся в запас. Старичок встал на очередь на жилье в райисполкоме в тысяча девятьсот.",M
"В России на ее портреты появились картины Константина Коровина, Михаила Нестерова.",H
"В России начали производить экспериментальные образцы винтовки для предварительных испытаний в связи с повышением нагрузки, сообщил Семизоров.",H
"В России ограничения по коронавирусу будут сниматься не одномоментно. По словам главы Роспотребнадзора Анны Поповой, этот процесс идет и он позитивен. Она отметила, что многие регионы уже находятся на первом этапе снятия ограничений, а некоторые приступают ко второму этапу. Все это происходит в зависимости от коэффициента уровня распространения инфекции.",H
В России появился бронепоезд на царицынском направлении.,H
"В Российской Федерации право на информированное согласие в психиатрии гарантировано благодаря «Закону о психиатрической помощи и гарантиях прав граждан при её оказании». Но, как неоднократно отмечалось в авторитетных источниках, в российских психиатрических больницах принцип информированного согласия нарушается. По словам некоторых врачей-психиатров, они предпочитают не обсуждать с пациентами особенности их психического заболевания и лечения. Как отмечалось в публикации 2010 года, свыше половины (56%) психиатров считают, что пациентам не следует сообщать диагноз заболевания, названия применяемых лекарственных средств, возникающие при лечении трудности и возможные осложнения.",H
В США в возрасте 35 лет скончался один из самых известных американских проституток — Джон Мэнсон. Причиной смерти стал рак легких.,M
В США и Великобритании таможенные и правоохранительные органы конфисковали большое количество поддельных товаров UGG и других люксовых брендов.,H
В США назвали место начала возможной войны между Россией и Украиной.,H
